customerID,p_oof,MonthlyCharges,Contract
3445-HXXGF,0.28489485,45.3,Month-to-month
1159-WFSGR,0.086678624,20.4,Month-to-month
7654-YWJUF,0.051778257,84.25,One year
1875-QIVME,0.8026897,104.4,Month-to-month
6727-IOTLZ,0.031454608,81.95,Two year
0691-JVSYA,0.15656994,94.85,One year
5918-VUKWP,0.026677394,20.55,One year
1744-JHKYS,0.08708817,24.7,Month-to-month
2656-FMOKZ,0.61873895,74.45,Month-to-month
2070-FNEXE,0.44720018,76.45,Month-to-month
5947-SGKCL,0.58706146,105.35,Month-to-month
3712-PKXZA,0.029408032,20.55,One year
6317-YPKDH,0.47188753,29.95,Month-to-month
6582-OIVSP,0.51710546,45.3,Month-to-month
9367-WXLCH,0.5642633,84.5,Month-to-month
5524-KHNJP,0.099116445,74.75,One year
1918-ZBFQJ,0.58110344,79.25,Month-to-month
1024-GUALD,0.6733964,24.8,Month-to-month
4827-USJHP,0.22490376,51.8,Month-to-month
8167-GJLRN,0.47124702,30.4,Month-to-month
0956-SYCWG,0.05728366,19.65,One year
8017-UVSZU,0.13580853,56.6,Month-to-month
7100-FQPRV,0.097963534,71.9,One year
2472-OVKUP,0.64619535,91.0,Month-to-month
2984-RGEYA,0.010383066,19.75,Two year
9680-NIAUV,0.044907924,109.7,Two year
2146-EGVDT,0.010377859,19.3,Two year
2604-IJPDU,0.4321866,96.55,Month-to-month
9178-JHUVJ,0.018289613,24.1,Two year
6168-YBYNP,0.4215256,111.35,Month-to-month
7255-SSFBC,0.078104414,112.25,Two year
3645-DEYGF,0.28266606,20.75,Month-to-month
9323-HGFWY,0.26887387,101.9,One year
8544-GOQSH,0.43177733,80.05,Month-to-month
3363-DTIVD,0.11628995,105.55,Two year
7018-WBJNK,0.52324426,78.3,Month-to-month
9142-KZXOP,0.21301466,68.85,Month-to-month
7674-YTAFD,0.120475225,79.95,One year
6348-SNFUS,0.01490593,55.45,Two year
1285-OKIPP,0.7915678,79.9,Month-to-month
7825-ECJRF,0.47464845,106.6,Month-to-month
1347-KTTTA,0.15669478,102.45,One year
7841-TZDMQ,0.47251436,46.0,Month-to-month
4195-NZGTA,0.58379656,25.25,Month-to-month
7157-SMCFK,0.010371831,19.75,Two year
4709-LKHYG,0.033958245,20.0,One year
2504-DSHIH,0.4847501,86.8,Month-to-month
0699-NDKJM,0.14450046,58.75,Month-to-month
9286-BHDQG,0.02083407,45.25,Two year
0230-WEQUW,0.022065295,56.6,Two year
2040-LDIWQ,0.02522625,84.2,Two year
6496-JDSSB,0.57738996,80.0,Month-to-month
9408-SSNVZ,0.6695655,70.15,Month-to-month
4443-EMBNA,0.011059319,24.75,Two year
6469-MRVET,0.30168927,20.2,One year
0742-MOABM,0.269068,50.05,Month-to-month
5961-VUSRV,0.056934282,19.35,One year
6778-JFCMK,0.12585618,50.6,One year
6341-JVQGF,0.08147436,81.15,One year
2232-DMLXU,0.5176665,55.2,Month-to-month
4811-JBUVU,0.35612655,89.9,Month-to-month
0945-TSONX,0.019509485,85.3,Two year
2651-ZCBXV,0.11506368,108.0,Two year
3316-UWXUY,0.18154286,93.5,Month-to-month
8937-RDTHP,0.6189994,84.6,Month-to-month
7083-MIOPC,0.008533326,20.25,Two year
1984-GPTEH,0.0866125,25.15,Month-to-month
1251-KRREG,0.45437157,54.4,Month-to-month
0621-JFHOL,0.056136325,29.6,Two year
9903-LYSAB,0.5566187,73.15,Month-to-month
0094-OIFMO,0.71634394,95.0,Month-to-month
9227-UAQFT,0.015548289,19.75,Two year
7301-ABVAD,0.019920139,86.6,Two year
6614-FHDBO,0.086184554,109.2,Two year
7576-ASEJU,0.11014218,74.7,One year
9058-HRZSV,0.16670421,94.4,Month-to-month
4522-AKYLR,0.33649775,54.8,Month-to-month
0221-WMXNQ,0.5360305,75.35,Month-to-month
0303-UNCIP,0.09711145,65.0,One year
9947-OTFQU,0.6151971,74.4,Month-to-month
0322-YINQP,0.44240203,48.55,Month-to-month
0959-WHOKV,0.22380708,99.0,One year
4075-JFPGR,0.119739,93.5,One year
4629-NRXKX,0.6142344,70.4,Month-to-month
9514-JDSKI,0.6774786,40.2,Month-to-month
3282-ZISZV,0.09699001,83.7,One year
3675-YDUPJ,0.13935861,19.85,Month-to-month
4111-BNXIF,0.029651092,59.55,Two year
7017-VFHAY,0.047832333,115.1,Two year
6655-LHBYW,0.1906453,114.35,One year
4959-JOSRX,0.6179249,44.6,Month-to-month
5046-NUHWD,0.3376484,45.0,Month-to-month
7273-TEFQD,0.64607024,41.15,Month-to-month
3606-TWKGI,0.6801912,106.9,Month-to-month
7529-ZDFXI,0.4055728,89.85,Month-to-month
7605-BDWDC,0.021251315,49.85,Two year
1950-KSVVJ,0.18977861,113.3,One year
0123-CRBRT,0.015633974,88.1,Two year
6292-TOSSS,0.016818644,24.9,Two year
3197-ARFOY,0.41554102,105.0,Month-to-month
6323-AYBRX,0.011947733,19.35,Two year
7014-ZZXAW,0.014075308,24.25,Two year
4385-GZQXV,0.5658022,94.45,Month-to-month
7633-MVPUY,0.031115318,59.75,Two year
6366-ZGQGL,0.44872737,24.8,Month-to-month
4716-HHKQH,0.5322749,107.05,Month-to-month
5940-AHUHD,0.7052774,70.6,Month-to-month
6432-TWQLB,0.6439859,85.4,Month-to-month
4484-GLZOU,0.5086575,105.05,Month-to-month
3179-GBRWV,0.17796357,64.95,Month-to-month
8645-KWHJO,0.31940386,55.0,Month-to-month
4130-MZLCC,0.27599835,50.55,Month-to-month
0314-TKOSI,0.15964808,55.15,Month-to-month
8229-MYEJZ,0.23282626,51.2,Month-to-month
2080-SRCDE,0.2678798,25.4,Month-to-month
9577-WJVCQ,0.08083776,54.45,Month-to-month
9512-UIBFX,0.3633254,95.15,Month-to-month
6202-DYYFX,0.14703341,76.0,One year
3808-HFKDE,0.27168155,44.35,Month-to-month
5583-SXDAG,0.7434862,70.0,Month-to-month
3488-PGMQJ,0.6107932,74.5,Month-to-month
3580-REOAC,0.21403942,44.85,Month-to-month
7534-BFESC,0.5255055,76.1,Month-to-month
3727-OWVYD,0.03955608,61.2,One year
2294-SALNE,0.07484854,86.8,One year
4847-TAJYI,0.70371515,89.35,Month-to-month
1563-IWQEX,0.11472054,19.7,Month-to-month
8203-XJZRC,0.29123053,20.25,Month-to-month
6556-DBKZF,0.056675814,76.05,Two year
6851-WEFYX,0.5281967,100.8,Month-to-month
2985-JUUBZ,0.306833,74.55,Month-to-month
6390-DSAZX,0.6181333,73.6,Month-to-month
0895-LMRSF,0.13736969,64.9,One year
8098-LLAZX,0.8456594,95.45,Month-to-month
8266-VBFQL,0.66191375,90.4,Month-to-month
8181-YHCMF,0.021813253,60.3,Two year
2240-HSJQD,0.31992257,81.85,Month-to-month
1248-DYXUB,0.012787906,24.8,Two year
0265-EDXBD,0.5239425,74.9,Month-to-month
4115-BNPJY,0.022738006,75.55,Two year
3167-SNQPL,0.42442608,101.15,Month-to-month
4091-TVOCN,0.094568364,78.75,One year
1098-TDVUQ,0.35470948,19.25,Month-to-month
7277-OZCGZ,0.3171181,89.05,Month-to-month
1557-EMYVT,0.08511863,115.05,Two year
2799-ARNLO,0.6478299,69.35,Month-to-month
7563-BIUPC,0.65091014,80.6,Month-to-month
5027-YOCXN,0.19808404,110.05,One year
3973-SKMLN,0.0099589275,19.9,Two year
2321-OMBXY,0.06491987,80.3,One year
2840-XANRC,0.5673883,93.15,Month-to-month
6745-JEFZB,0.35619822,91.5,Month-to-month
5020-ZSTTY,0.10001116,82.45,One year
9880-TDQAC,0.030180352,60.0,Two year
8705-WZCYL,0.6553872,44.8,Month-to-month
7102-JJVTX,0.05234243,48.6,One year
8626-PTQGE,0.020646084,60.05,Two year
4983-CLMLV,0.36307302,102.7,Month-to-month
5701-YVSVF,0.61547583,82.9,Month-to-month
5804-LEPIM,0.69921786,70.35,Month-to-month
5697-GOMBF,0.45540217,35.9,Month-to-month
2739-CACDQ,0.57386726,82.65,Month-to-month
9385-EHGDO,0.015913857,19.85,Two year
9498-FIMXL,0.072236836,19.2,One year
2379-GYFLQ,0.1490341,94.9,One year
0122-OAHPZ,0.6316492,73.85,Month-to-month
2868-SNELZ,0.603489,80.6,Month-to-month
4322-RCYMT,0.0679541,75.8,One year
6680-NENYN,0.21196875,104.6,Two year
2088-IEBAU,0.02532456,88.15,Two year
7982-VCELR,0.31158835,94.8,Month-to-month
1343-EHPYB,0.42962998,103.4,Month-to-month
6035-BXTTY,0.14155547,54.65,Month-to-month
6885-PKOAM,0.020127682,85.75,Two year
7520-HQWJU,0.09386973,67.45,Month-to-month
9639-BUJXT,0.018845469,20.5,One year
5924-SNGKP,0.03691249,20.25,One year
0021-IKXGC,0.87419415,72.1,Month-to-month
2034-GDRCN,0.82435024,90.4,Month-to-month
8966-SNIZF,0.008504542,19.45,Two year
6243-OZGFH,0.4558136,44.95,Month-to-month
4654-DLAMQ,0.09272502,97.0,One year
0513-RBGPE,0.022943754,62.8,Two year
5160-UXJED,0.06458694,44.6,One year
4115-NZRKS,0.73404807,89.15,Month-to-month
0219-YTZUE,0.58885133,84.8,Month-to-month
0623-IIHUG,0.29988387,41.9,Month-to-month
4572-DVCGN,0.5294757,80.25,Month-to-month
3351-NGXYI,0.26971418,54.1,Month-to-month
8984-EYLLL,0.1250321,105.25,Two year
9057-MSWCO,0.18653917,30.75,Month-to-month
9833-TGFHX,0.21896023,97.1,One year
9294-TDIPC,0.10874686,20.2,Month-to-month
5229-DTFYB,0.04793404,98.8,Two year
0104-PPXDV,0.051763136,50.3,One year
5176-LMJXE,0.015167125,20.55,Two year
3583-KRKMD,0.360036,75.9,Month-to-month
1010-DIAUQ,0.61909056,96.5,Month-to-month
9069-LGEUL,0.160263,59.95,Month-to-month
7302-ZHMHP,0.29228154,19.15,Month-to-month
9571-EDEBV,0.22862251,98.65,One year
3520-FJGCV,0.042462584,112.6,Two year
6563-VRERX,0.026414689,20.6,One year
0259-GBZSH,0.8011956,85.65,Month-to-month
6122-EFVKN,0.018404046,35.75,Two year
2805-EDJPQ,0.16429512,99.75,One year
6862-CQUMB,0.36344334,96.1,Month-to-month
7156-MXBJE,0.10196457,85.1,One year
6158-HDPXZ,0.41700113,25.35,Month-to-month
9601-BRXPO,0.4550807,104.95,Month-to-month
2863-IMQDR,0.029644135,89.65,Two year
5686-CMAWK,0.2315392,86.75,One year
5651-CRHKQ,0.091213636,86.2,One year
6905-NIQIN,0.44922528,50.65,Month-to-month
8204-YJCLA,0.020294765,64.8,Two year
5167-ZFFMM,0.8181181,90.85,Month-to-month
6583-SZVGP,0.19519313,108.1,Two year
4895-TMWIR,0.10348719,19.95,Month-to-month
0533-BNWKF,0.36703897,85.45,Month-to-month
1708-PBBOA,0.121763304,54.75,One year
8782-LKFPK,0.33751184,90.4,Month-to-month
5522-JBWMO,0.52005345,44.0,Month-to-month
3597-MVHJT,0.49351406,95.6,Month-to-month
9774-NRNAU,0.21255764,84.8,Month-to-month
0224-RLWWD,0.7066931,44.3,Month-to-month
9967-ATRFS,0.061957702,19.9,Month-to-month
3951-NJCVI,0.51642823,95.05,Month-to-month
2977-CEBSX,0.016663367,90.05,Two year
0177-PXBAT,0.3483177,109.9,Month-to-month
6599-CEBNN,0.3086794,73.95,Month-to-month
2519-ERQOJ,0.25593513,54.6,Month-to-month
5876-QMYLD,0.029025448,20.05,One year
2277-AXSDC,0.028314712,19.75,One year
9442-JTWDL,0.044738006,20.05,One year
0979-PHULV,0.29917628,99.45,Month-to-month
3067-SVMTC,0.03463332,55.9,One year
5495-GPSRW,0.017428098,19.7,Two year
7606-BPHHN,0.0131897945,19.8,Two year
4742-DRORA,0.09212767,95.4,One year
0111-KLBQG,0.45610106,93.95,Month-to-month
4800-VHZKI,0.36043665,19.9,Month-to-month
7989-CHGTL,0.38972083,19.6,Month-to-month
0334-GDDSO,0.7564393,81.35,Month-to-month
4163-NCJAK,0.05064718,24.45,One year
5233-AOZUF,0.49488375,74.95,Month-to-month
5973-EJGDP,0.27455574,87.35,Month-to-month
1996-DBMUS,0.27065387,70.65,Month-to-month
7916-VCCPB,0.3210311,73.25,Month-to-month
4686-GEFRM,0.0386059,98.7,Two year
5249-QYHEX,0.017547997,24.8,Two year
0578-SKVMF,0.33448493,83.3,Month-to-month
5564-NEMQO,0.75133103,75.3,Month-to-month
2233-FAGXV,0.15658985,24.3,Month-to-month
5605-IYGFG,0.48565224,69.85,Month-to-month
7663-ZTEGJ,0.21382871,100.55,One year
3935-TBRZZ,0.030640425,25.7,One year
8111-BKVDS,0.1794376,40.7,Month-to-month
2055-SIFSS,0.16622485,51.65,Month-to-month
2806-MLNTI,0.28650928,105.1,One year
8734-DKSTZ,0.66888815,85.95,Month-to-month
4360-PNRQB,0.38267785,75.6,Month-to-month
6152-ONASV,0.036760584,58.25,One year
9063-ZGTUY,0.066983044,19.4,Month-to-month
7781-HVGMK,0.018105036,65.2,Two year
2181-UAESM,0.42208308,53.45,Month-to-month
2957-LOLHO,0.2270882,45.4,Month-to-month
6048-NJXHX,0.052256074,19.75,Two year
2320-SLKMB,0.1991323,44.45,Month-to-month
4980-URKXC,0.025410268,20.85,One year
4376-KFVRS,0.052760743,114.05,Two year
5886-VLQVU,0.35056534,89.85,Month-to-month
3577-AMVUX,0.47235546,55.05,Month-to-month
0771-WLCLA,0.5690657,112.95,Month-to-month
5628-RKIFK,0.36647454,101.55,Month-to-month
0206-TBWLC,0.21720926,114.65,One year
2937-FTHUR,0.1723543,64.8,Month-to-month
1910-FMXJM,0.39703673,80.4,Month-to-month
7752-XUSCI,0.48802936,105.9,Month-to-month
4110-PFEUZ,0.68548954,69.55,Month-to-month
0732-OCQOC,0.018939625,25.05,Two year
5168-MSWXT,0.6902167,94.75,Month-to-month
1090-ESELR,0.056092948,105.5,Two year
8592-PLTMQ,0.023993565,24.7,One year
5760-WRAHC,0.1680885,69.75,Month-to-month
8847-GEOOQ,0.1415724,60.2,Month-to-month
0256-LTHVJ,0.49011382,81.05,Month-to-month
4785-FCIFB,0.010987135,24.4,Two year
8313-NDOIA,0.60056174,104.15,Month-to-month
5149-CUZUJ,0.109472595,92.9,One year
0942-KOWSM,0.022633277,80.8,Two year
4237-CLSMM,0.21081324,20.0,Month-to-month
1452-VOQCH,0.85339844,75.1,Month-to-month
4719-UMSIY,0.14140002,19.65,Month-to-month
6614-VBEGU,0.20277445,69.45,Month-to-month
0880-TKATG,0.69731945,101.15,Month-to-month
3811-VBYBZ,0.7908468,99.8,Month-to-month
1480-BKXGA,0.04641464,116.05,Two year
2996-XAUVF,0.024296647,40.05,Two year
9076-AXYIK,0.11710844,102.1,Two year
5968-XQIVE,0.15968359,89.7,One year
8896-RAZCR,0.012230774,19.9,Two year
4640-UHDOS,0.23219302,55.95,Month-to-month
4933-IKULF,0.042783678,20.65,One year
3583-EKAPL,0.684953,55.0,Month-to-month
1304-BCCFO,0.24955925,70.05,Month-to-month
4104-PVRPS,0.08736858,53.6,Month-to-month
9399-APLBT,0.8036369,74.7,Month-to-month
2359-KMGLI,0.49131995,80.25,Month-to-month
3780-DDGSE,0.23901772,76.05,Month-to-month
4431-EDMIQ,0.23979905,75.7,Month-to-month
0306-JAELE,0.7074814,96.1,Month-to-month
6227-HWPWX,0.38062844,69.0,Month-to-month
0486-LGCCH,0.017713327,19.65,Two year
0447-BEMNG,0.1838939,45.3,Month-to-month
4612-SSVHJ,0.5220613,81.45,Month-to-month
5168-MQQCA,0.18258376,108.5,One year
5949-XIKAE,0.6209561,83.55,Month-to-month
7971-HLVXI,0.044511408,84.5,Two year
9094-AZPHK,0.77314615,100.15,Month-to-month
3649-JPUGY,0.026458943,88.6,Two year
4472-LVYGI,0.09330657,52.55,Two year
8372-JUXUI,0.83483267,74.35,Month-to-month
3552-CTCYF,0.097749546,104.8,Two year
6778-YSNIH,0.62427783,59.0,Month-to-month
0388-EOPEX,0.58855444,74.4,Month-to-month
5756-OZRIO,0.067398466,64.05,One year
6579-JPICP,0.31686434,20.4,Month-to-month
8205-OTCHB,0.14975739,43.75,One year
4134-BSXLX,0.085902266,60.9,Month-to-month
0505-SPOOW,0.010981395,19.8,Two year
6235-VDHOM,0.5181556,28.45,Month-to-month
7783-YKGDV,0.61430293,99.7,Month-to-month
4374-YMUSQ,0.2159683,116.25,One year
4513-CXYIX,0.041475464,80.7,Two year
3957-HHLMR,0.05143754,65.2,One year
7803-XOCCZ,0.16550325,84.05,Month-to-month
5736-YEJAX,0.01449949,79.45,Two year
5609-CEBID,0.58133835,94.1,Month-to-month
8981-FJGLA,0.5562248,78.0,Month-to-month
7218-HKQFK,0.7518493,94.2,Month-to-month
4636-QRJKY,0.6197121,80.5,Month-to-month
1135-LMECX,0.29371142,19.85,Month-to-month
4332-MUOEZ,0.18462409,94.3,One year
8535-SFUTN,0.40946332,106.45,Month-to-month
5956-VKDTT,0.747728,74.35,Month-to-month
8677-HDZEE,0.3725452,105.45,Month-to-month
2475-MROZF,0.31404522,95.0,Month-to-month
9412-GHEEC,0.30677864,104.8,Month-to-month
3482-ABPKK,0.042181373,54.3,One year
6705-LXORM,0.59359246,70.05,Month-to-month
0257-ZESQC,0.3086102,75.2,Month-to-month
7531-GQHME,0.10220887,20.05,Month-to-month
5174-ITUMV,0.35759684,105.4,One year
4109-CYRBD,0.30315882,51.6,Month-to-month
0913-XWSCN,0.25048164,85.5,Month-to-month
6825-UYPFK,0.27883077,75.6,Month-to-month
8397-MVTAZ,0.5347554,100.05,Month-to-month
0750-EBAIU,0.110261574,91.25,One year
8606-CIQUL,0.04400615,115.75,Two year
3571-DPYUH,0.09064802,94.7,One year
7601-GNDYK,0.012998748,19.6,Two year
0356-OBMAC,0.0969239,99.9,Two year
8067-NIOYM,0.015088635,21.1,Two year
1403-GYAFU,0.00801754,20.05,Two year
4234-XTNEA,0.805945,79.95,Month-to-month
1297-VQDRP,0.24734749,107.15,One year
9282-IZGQK,0.8546283,85.0,Month-to-month
5348-CAGXB,0.7402588,89.55,Month-to-month
0621-HJWXJ,0.20109268,81.55,Month-to-month
5844-QVTAT,0.056514844,58.45,One year
8905-IAZPF,0.17717606,95.65,One year
5394-MEITZ,0.025132887,80.6,Two year
6859-QNXIQ,0.03568253,113.1,Two year
2782-LFZVW,0.27217603,58.95,Month-to-month
2866-IKBTM,0.28442067,19.55,Month-to-month
1342-JPNKI,0.63471854,86.05,Month-to-month
2817-NTQDO,0.19390966,45.55,Month-to-month
7129-AZJDE,0.21115305,78.95,One year
6986-IJDHX,0.30752942,86.3,Month-to-month
2560-PPCHE,0.19761553,105.05,One year
4676-MQUEA,0.15768814,101.9,One year
8138-EALND,0.10138308,19.75,Month-to-month
3580-HYCSP,0.058775358,110.3,Two year
1352-HNSAW,0.048519254,115.6,Two year
2075-PUEPR,0.012321688,19.35,Two year
1982-FEBTD,0.017130123,25.6,Two year
5301-GAUUY,0.3511128,80.35,Month-to-month
5791-KAJFD,0.0758081,68.75,One year
2654-VBVPB,0.3221183,19.9,Month-to-month
1154-HYWWO,0.059365034,70.6,One year
2501-XWWTZ,0.4489803,70.2,Month-to-month
3716-UVSPD,0.58515483,49.3,Month-to-month
6815-ABQFQ,0.2916079,107.25,One year
7343-EOBEU,0.21922785,23.6,Month-to-month
3701-SFMUH,0.19803458,69.7,Month-to-month
6103-LIANB,0.10143557,99.5,Two year
7319-VENRZ,0.22822785,64.3,Month-to-month
5846-NEQVZ,0.015701195,70.85,Two year
6967-QIQRV,0.35456863,101.9,One year
5781-RFZRP,0.01600494,73.5,Two year
0939-YAPAF,0.49617139,100.25,Month-to-month
